Coin,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Amount,Invested,Returned,Profit,Profit%
RENDER,HYPER,11:55:49 AM,11:55:56 AM,2.3310,2.3300,10.725011,25.00,24.99,-0.0107,-0.04%
WLD,HYPER,11:55:31 AM,11:55:49 AM,0.3794,0.3789,65.893516,25.00,24.95,-0.0461,-0.18%
BNB,HYPER,11:55:02 AM,11:55:46 AM,656.9800,657.1000,0.038053,25.00,25.00,0.0046,0.02%
INJ,HYPER,11:54:41 AM,11:55:41 AM,5.5390,5.5360,4.513450,25.00,24.99,-0.0135,-0.05%
RENDER,HYPER,11:55:32 AM,11:55:38 AM,2.3320,2.3310,10.720412,25.00,24.99,-0.0107,-0.04%
PHA,HYPER,11:55:25 AM,11:55:34 AM,0.0490,0.0490,510.204082,25.00,24.95,-0.0510,-0.20%
NEAR,HYPER,11:54:53 AM,11:55:31 AM,2.7010,2.7030,9.255831,25.00,25.02,0.0185,0.07%
DUSK,HYPER,11:55:16 AM,11:55:29 AM,0.1386,0.1384,180.375180,25.00,24.96,-0.0361,-0.14%
RLC,HYPER,11:55:13 AM,11:55:23 AM,0.4523,0.4519,55.273049,25.00,24.98,-0.0221,-0.09%
FET,HYPER,11:55:01 AM,11:55:14 AM,0.2443,0.2444,102.333197,25.00,25.01,0.0102,0.04%
RENDER,HYPER,11:55:04 AM,11:55:10 AM,2.3320,2.3310,10.720412,25.00,24.99,-0.0107,-0.04%
HMSTR,HYPER,11:54:50 AM,11:55:02 AM,0.0002,0.0002,147058.823529,25.00,24.99,-0.0147,-0.06%
